bird_name
Rivoli's Hummingbird
Blue-throated Mountain-gem
Lucifer Hummingbird
Black-chinned Hummingbird
Anna's Hummingbird
Costa's Hummingbird
Calliope Hummingbird
Rufous Hummingbird
Broad-tailed Hummingbird
Broad-billed Hummingbird
White-eared Hummingbird
Violet-crowned Hummingbird
Berylline Hummingbird
